#{"t_start": 1754656415.784797, "env_id": "None"}
r,l,t
20.423888,16,16.529622
15.261139,32,16.557318
6.375066,9,16.565109
14.468004,15,16.577802
11.080868,16,16.591577
13.623207,21,16.609458
9.015346,9,16.61762
10.395139,10,16.626097
11.89732,29,16.650693
2.510412,6,16.656411
15.749365,21,16.674128
22.749364,21,16.691993
15.485111,19,16.708412
3.065005,6,16.713706
27.167765,37,16.745234
13.436913,13,16.756661
14.217481,12,16.766765
8.782618,6,16.771842
15.151188,21,16.789817
12.479926,25,16.810917
12.259389,22,16.829871
22.130895,25,16.851229
10.254473,14,16.863604
18.682028,18,16.878973
18.755735,17,16.893668
19.438602,16,16.907407
29.020302,27,16.930464
28.833177,39,16.964069
31.878648,36,16.994331
17.697965,22,17.013049
30.887845,19,17.029143
11.449811,8,17.035979
20.179117,26,17.058379
15.738459,21,17.076244
16.711605,15,17.089002
13.576064,20,17.106311
14.204333,17,17.120757
6.521891,12,17.131138
7.69969,10,17.139949
15.016067,12,17.150583
25.23763,43,17.188887
20.70528,30,17.214502
23.087891,27,17.237671
20.793944,16,17.251065
14.423133,19,17.267568
19.633735,22,17.286275
47.475857,35,18.24633
21.549168,16,18.259957
28.95477,30,18.285743
6.897268,16,18.299499
17.931471,22,18.318144
19.615873,19,18.334301
18.34898,24,18.355006
13.44182,9,18.36307
15.769611,12,18.373409
54.098143,58,18.423501
22.612761,31,18.450093
28.358852,29,18.475842
23.431558,18,18.491573
17.718516,24,18.51238
23.623078,33,18.540629
13.466332,14,18.552601
26.657073,37,18.585082
16.061037,28,18.609101
59.691355,41,18.644043
19.932876,31,18.671072
3.963747,7,18.677244
28.903021,17,18.691904
15.287236,15,18.70481
42.898996,54,18.750368
20.877383,23,18.770114
21.826191,19,18.786518
27.348929,36,18.817365
51.811039,53,18.86243
8.405325,11,18.872263
6.317652,21,18.890353
47.663162,44,18.928034
18.554146,23,18.947678
35.186698,30,18.973266
11.700314,10,18.981838
9.272865,22,19.000568
14.479825,25,19.022378
15.859236,19,19.038654
13.46058,16,19.052258
20.507982,17,19.06724
41.376589,38,19.099689
25.592751,24,19.120379
15.68745,22,19.13905
14.084314,27,19.163436
8.795785,12,19.173941
30.148351,18,19.189219
28.496513,28,19.212801
16.086245,31,19.239051
12.980119,18,19.254335
22.314401,27,19.277823
13.631044,14,19.289745
15.304804,22,19.308504
18.746253,34,19.337525
14.828452,33,19.365714
10.603279,17,19.380829
20.427905,19,19.397106
19.298514,35,19.426756
8.261503,24,19.447498
5.671466,9,19.455342
27.25222,27,19.478948
10.856705,18,19.494256
15.933518,17,19.508923
59.748595,58,19.558712
5.52303,10,19.567962
16.184888,26,19.590807
8.042649,20,19.607944
1.682365,12,19.618179
17.845605,14,19.630062
40.599431,28,19.653864
23.122672,32,19.681525
42.836455,51,19.725152
19.771638,17,19.739623
31.233444,26,19.76178
19.033004,26,19.784596
15.710589,23,19.804491
14.670093,26,19.829269
10.598755,11,19.838814
6.370353,13,19.849906
13.691647,13,19.861327
12.311262,18,19.877156
15.776799,15,19.890172
23.950368,32,19.918015
37.6902,27,19.940914
36.372451,38,19.973443
20.180191,19,19.989495
14.069856,15,20.002174
14.37614,14,20.950372
9.289578,12,20.960639
13.66998,24,20.981388
27.383391,37,21.012639
57.59144,48,21.054011
42.0648,40,21.088744
18.008524,21,21.106949
9.144786,14,21.118904
24.735942,37,21.15079
79.550792,66,21.208447
30.269637,22,21.227207
15.99975,22,21.245912
23.061702,23,21.265628
10.00644,11,21.275547
17.10348,20,21.292878
9.718322,10,21.301434
42.232483,23,21.32092
24.282221,33,21.349112
16.569752,21,21.367119
11.618542,10,21.376377
14.283601,11,21.385724
22.042572,31,21.411914
19.602008,27,21.434918
16.386635,21,21.452706
31.96921,25,21.47383
4.454715,14,21.486313
19.560035,21,21.503976
15.087504,16,21.517685
20.687638,24,21.538202
7.513486,9,21.54593
41.768751,39,21.579413
23.449682,28,21.603301
28.467017,31,21.629651
14.934816,30,21.655023
42.611962,51,21.698446
11.197326,13,21.709514
10.636202,19,21.725616
29.41657,27,21.749336
34.710324,33,21.78
28.303316,27,21.803586
8.235354,26,21.825937
9.704101,14,21.838288
17.639539,12,21.84882
16.23072,16,21.862612
10.41355,10,21.871255
28.307932,27,21.895101
9.666471,18,21.910713
28.902565,32,21.938115
16.083858,22,21.956779
14.914348,13,21.967871
23.217572,18,21.98362
42.602727,30,22.009104
8.559611,17,22.023707
11.558558,23,22.043513
17.015227,21,22.06134
26.917699,33,22.089606
10.681958,15,22.102516
26.687494,19,22.118882
22.633542,18,22.134277
20.805117,14,22.146286
13.876965,20,22.164504
34.96932,30,22.1904
35.973965,44,22.227934
11.445564,10,22.236482
11.409157,19,22.252865
31.324413,31,22.27952
15.383645,12,22.289721
34.967651,53,22.334656
31.333141,28,22.358435
15.889311,24,22.37908
17.629415,11,22.388865
26.524809,30,22.414513
25.086062,43,22.451163
18.712414,20,22.468327
15.071691,23,22.488235
9.99475,11,22.497743
20.154975,15,422.140756
21.471732,18,422.158402
10.203686,17,422.173256
27.358706,33,422.20181
30.550582,39,422.235637
29.121196,35,422.265724
8.368844,17,422.280431
28.612036,25,422.301976
44.922647,47,422.342745
13.032049,18,422.358239
33.285552,30,422.38391
26.271605,30,422.410191
14.173869,25,422.431514
34.451155,33,422.459956
3.228041,6,422.46518
9.384825,10,422.473816
19.578227,25,422.495163
17.748162,27,422.519174
18.121681,9,422.526919
43.402246,49,422.56878
30.867419,27,422.592122
17.575694,23,422.612489
23.694024,19,422.628846
22.049157,29,422.654201
17.457633,19,422.671423
58.610884,43,422.712731
16.742014,25,422.735428
4.853606,19,422.752656
24.985689,45,422.793132
4.763036,8,422.800469
3.557422,10,422.809283
5.91594,11,422.81971
14.183747,22,422.83936
24.522376,40,422.875925
39.376178,37,422.909538
14.236891,10,422.919121
14.988851,16,422.9335
8.611621,12,422.944218
7.229769,22,422.964134
22.258026,12,422.974879
49.428628,54,423.024076
22.219627,31,423.051879
23.872095,18,423.068132
27.660278,40,423.104217
15.042813,13,423.11703
20.994453,20,423.135149
10.401434,12,423.145932
40.343968,36,423.17803
10.347358,14,423.190721
14.426003,16,423.204888
24.609623,17,423.22084
12.820665,18,423.236758
19.213307,23,423.257367
26.447768,23,423.277965
5.218962,8,423.285214
8.42433,19,423.3023
26.591197,22,423.323249
24.737574,29,423.349336
31.349665,23,423.369955
11.050221,12,423.380695
11.377224,19,423.397409
11.96434,14,423.410083
27.583938,35,423.441757
19.54944,34,423.472216
34.57211,28,423.496924
30.27082,44,423.53634
61.557707,45,423.576441
4.765709,7,423.583338
21.280639,20,423.601088
11.554497,16,423.615961
25.610964,37,423.648389
16.095286,26,423.672774
11.756013,19,423.69093
24.014977,22,423.710679
8.831208,16,423.725391
32.459856,35,423.756624
20.770687,21,423.775656
10.538082,17,423.791083
17.502654,18,423.807083
12.592014,23,423.828161
42.542402,41,423.864478
14.175431,27,423.890009
12.436353,29,423.916439
20.588327,26,423.940868
13.902151,29,424.925068
23.707142,24,424.946674
46.252095,44,424.985929
